"Informazioni cronologiche","How old are you? / Quanti anni hai?","How much do you know the problem of plastic pollution in the ocean? / Quanto conosci il problema dell'inquinamento della plastica negli oceani?","How much important is plastic pollution for you?/ Quanto è importante per te l'inquinamento della plastica?","Do you think sensibilization can help people to reduce the amount of plastic improperly trashed?/  Pensi che la sensibilizzazione possa aiutare la gente a ridurre la quantità di plastica buttata impropriamente?","What kind of stuff would you like to be made starting from recycled plastic? / Che tipo di cose ti piacerebbe fossero realizzate partendo dalla plastica riciclata?","How do you imagine the future of our oceans? / Come immagini il futuro dei nostri oceani? ","Imagine you are on one of those plastic islands. How do you feel? /Immagina di essere su una di queste isole di plastica. Come ti sentiresti?","What does increase more your awareness around an issue? Knowing all its worst consequences or all the best things after overcoming that? /  Che cosa aumenta di più la tua sensibilità su un problema? Sapere tutte le sue conseguenze peggiori o le cose migliori dopo la risoluzione?","What does make you feel more unconfortable in a claustrophobic situation? / Che cosa ti da una sensazione maggiore di claustrofobia? ","Would you like to try any virtual trips (for example 4D experience) in order to increase awareness about this topic?/ Ti piacerebbe provare dei viaggi virtuali di sensibilizzazione su questo tema (per esempio un'esperienza 4D)?","How much intense can be the virtual unconfortable experience you would like to have? (claustrophobic for example) / Quanto intensa può essere l'esperienza virtuale di disagio che vorresti avere? (Claustrofobica per esempio)"
"2021/03/24 2:37:29 PM EET","25","5","5","Yes (Sì)","Condom ","Più acqua e plastica, meno pesci","Assolato disidratato","The worst things (Le cose peggiori)","Uno spazio che si restringe","Yes (Sì)","5"
"2021/03/24 2:46:00 PM EET","79","5","5","Yes (Sì)","I bicchieri e bottiglia ","Pulito","Male","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/03/24 2:46:42 PM EET","41","5","5","Yes (Sì)","Non so","Pieni di plastica se non ci diamo una regolata ","Male","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","3"
"2021/03/24 3:03:25 PM EET","23","5","5","Yes (Sì)","","","","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/24 3:12:07 PM EET","24","5","5","Yes (Sì)","Qualsiasi oggetto che si possa produrre con plastica riciclata andrebbe bene","Sempre più inquinato","Morto","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 3:20:50 PM EET","69","5","5","Yes (Sì)","Pulire in modo concreto le spiagge","Se si continua ad ignorare il problema sempre peggio","Una nullità ","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","5"
"2021/03/24 3:25:38 PM EET","52","3","5","Yes (Sì)","Oggetti importanti","Pulito","Male","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/24 3:54:20 PM EET","24","3","5","Yes (Sì)","Arredi","Il più pulito possibile ","Disorientato ","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","1"
"2021/03/24 4:40:18 PM EET","70","5","5","Yes (Sì)","Qualunque cosa","Pulito","Perso","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 5:04:59 PM EET","69","4","5","Yes (Sì)","Anche cose di uso comune che sicuramente contribuirebbe a riciclare tantissima plastica","Se non non c'è una rapida inversione di tendenza l vedo nera.","Non lo voglio nenche pensare e spero che non accada","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 5:10:33 PM EET","72","5","5","Yes (Sì)","Altra plastica","Migliore ","Perso","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","2"
"2021/03/24 5:27:20 PM EET","33","4","5","Yes (Sì)","Tutto","Se la situazione non cambia, l'immagino molto tragico ","carico di rabbia e triste","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 5:43:25 PM EET","22","4","5","Yes (Sì)","","Male, lo immagino moolto male ","Angosciato, schifato ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 5:50:30 PM EET","34","3","5","Yes (Sì)","","","","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","No (No)","3"
"2021/03/24 6:24:15 PM EET","27","2","3","Yes (Sì)","Oggetti di uso comune, in ambito domestico e non","Immagino i nostri oceani sempre più inquinati, con grave danno per flora e fauna marine","In trappola","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 7:02:31 PM EET","42","2","5","Yes (Sì)","soprammobili oggettistica varia ","spero migliore di ora ","arrabbiata e triste ","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","3"
"2021/03/24 7:09:14 PM EET","68","3","5","Yes (Sì)","Oggettistica","Spero migliore ","Male","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 7:34:34 PM EET","35","2","5","Yes (Sì)","","sporco","male","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/24 7:51:20 PM EET","14","3","4","Yes (Sì)","","","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 7:56:31 PM EET","14","4","5","Yes (Sì)","I quaderni e i libri","Credo che continuando così non ci sarà nessun oceano nel quale non siano presenti tonnellate di plastica che causeranno la fine di innumerevoli specie animali con la conseguente fine della vita marina ","Profondamente indignato poiché coloro che dovevano garantirci un futuro migliore l’hanno solo peggiorato","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","1"
"2021/03/24 7:56:40 PM EET","22","3","5","Yes (Sì)","Both practical stuff, eg. food containers, as well as things that can move people opinion (art installations, sculptures, toys for kids living in poverty, etc.)","If we do not do something for them, not splendid. I imagine we will reach the point when the large plastic island become so damaging that they will become common knwoledge and a threat that people will feel more real; sadly, that moment would probably come after the point of no return.","Disgusted. Powerless. Probably guilty, since we all made mistakes in our life, none of us had a perfect zero-plastic life from infancy, we all had an impact on this problem.","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 7:58:01 PM EET","I'm 14 years old","3","5","Yes (Sì)","I don't know. ","I imagine that our oceans will be full of plastic. ","I would feel impressed for its dimension. ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/24 8:00:34 PM EET","14","4","3","Maybe (Forse)","Non ni viene nulla in mente","Una vasta discarica a cielo aperto","Mi sentirei abbastanza divertito nel vedere la distruzione causata dall'uomo uccidere /intrappolare un altro uomo","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","5"
"2021/03/24 8:08:16 PM EET","14 years old","4","3","Maybe (Forse)","Plastic can be recycled in order to make a ton of stuff, it would take days to name them all, from simple pots to amazing artistic creations made from plastic","Unfortunately, I'm not sure of if the oceans will change drastically. There's too much people in our world to warn them all of the damage that we're dealing","I already get disgusted at seeing a piece of plastic just floating about in the surface of the water, but seeing an entire plain of them would make me vomit","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 8:19:41 PM EET","14 ","3","5","Maybe (Forse)","Oggetti utili di utilizzo quotidiano ","Ho paura che la flora e la fauna oceanica, ma anche in generale quella marina possa finire per estinguersi a causa delle morti della fauna dovute all’inquinamento della plastica ","","The best things (Le cose migliori)","Luoghi al chiuso molto stretti e con molte persone al loro interno","Yes (Sì)","5"
"2021/03/24 8:20:10 PM EET","26","3","5","Yes (Sì)","","Se la situazione non dovesse cambiare, lo immaginerei sicuramente non pulito. ","Triste","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 8:46:30 PM EET","29","3","5","Yes (Sì)","Vestiti, stoviglie, bottiglie, mezzi di trasporto ","Critico, se non ci impegniamo a cambiare le cose da subito. ","Triste e sofferente. ","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/03/24 8:59:42 PM EET","52","3","5","Yes (Sì)","Materiali per l'edilizia","Come ora","Triste","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","1"
"2021/03/24 9:04:30 PM EET","29","3","5","Yes (Sì)","Cose utili per la vita quotidiana ","Pessimo","Disgustata ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/24 9:14:36 PM EET","23","5","5","Maybe (Forse)","Indumenti","Dipende da noi","Disperato","The best things (Le cose migliori)","Other (Altro)","Yes (Sì)","1"
"2021/03/24 10:13:37 PM EET","24","5","5","Yes (Sì)","Cose che magari potrebbero essere utilizzate negli oceani stessi senza danneggiare l'ambiente e la flora e la fauna","Un futuro migliore rispetto alla situazione attuale","Sensibilmente a disagio ","The best things (Le cose migliori)","Percezione di ciò che mi circonda","Yes (Sì)","5"
"2021/03/24 10:27:43 PM EET","34","4","5","Yes (Sì)","Ridurre a zero la produzione di plastica ","Se non cambiamo atteggiamento, temo ci sarà più plastica che pesce nell'oceano","Mi sentirei soffocare","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/24 11:48:27 PM EET","23","3","5","Yes (Sì)","Non so","Brutto continuando così ","Male","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","1"
"2021/03/24 11:52:06 PM EET","29","3","4","Yes (Sì)","Mi piacerebbe venisse riutilizzata per imballaggi, per la parte esterna (o accessori) degli elettrodomestici o anche alcune parti della casa (es. tapparelle). ","Al momento, in serio pericolo. ","In colpa per quello che stiamo infliggendo al pianeta e alla fauna acquatica. ","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/25 12:20:11 AM EET","40","3","4","Yes (Sì)","Oggetti che abbiano una lunga vita ","Migliore","Smarrito","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/25 12:26:54 AM EET","28","4","5","Yes (Sì)","Accessori di uso comune tipo smartphone, biro, occhiali, ecc..","Immagino un futuro sano, diverso ma sano. ","Mi sentirei sporco","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/25 12:29:29 AM EET","28","4","5","Maybe (Forse)","Contenitori che possano sostituire il packaging","Non ho idea, credo che il tempo della natura sia infinitamente più grande di quello dell'uomo, quindi la natura risorgerà ","Male","The best things (Le cose migliori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/25 12:32:57 AM EET","46","4","5","Yes (Sì)","Mobili da giardino, gadgets, scarpe, contenitori cari, ovunque ci sia plastica non necessariamente a contatto con il cibo","Ho la speranza che possa tornare a essere un futuro di oceani puliti","Che schifo!!!","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","1"
"2021/03/25 12:52:06 AM EET","36","4","5","Yes (Sì)","Tutto ciò che è attualmente in plastica ","Risposta da sognatrice: libero dalla plastica. Risposta da pessimista / realista: studi dicono che continuando con il business as usual, nel 2050 ci sarà più plastica che pesci ","Nauseata ","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","","5"
"2021/03/25 12:57:06 AM EET","25","1","5","Maybe (Forse)","Lo stretto necessario ","Se si continua così, lo immagino molto brutto ","Male ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/25 1:09:28 AM EET","70","5","5","Yes (Sì)","Vietare la produzione ","Drammatico ","Un mostro ","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/25 1:09:47 AM EET","40","4","5","Yes (Sì)","Mobile phone","In pericolo","Malissimo","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","No (No)","1"
"2021/03/25 1:30:54 AM EET","31","3","5","Yes (Sì)","Scarpe","Immagino che gli oceani siano limpidi e cristallini in modo da non gravare sulla flora e la fauna marina","Mi sentirei soffocare","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/25 1:38:14 AM EET","35","3","5","Yes (Sì)","","Puliti ","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/25 4:52:04 AM EET","35","4","5","Maybe (Forse)","Household consumer goods ","Tragic!","I would feel like a turd!!","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","4"
"2021/03/25 7:10:12 AM EET","70","5","5","Yes (Sì)","Vietare la produzione ","Drammatico ","Un mostro ","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/25 8:33:26 AM EET","33","3","4","Yes (Sì)","Costruzioni","Un habitat naturale non inquinato ","Incredula, ma capirei dal vivo questo grave danno ambientale ","The worst things (Le cose peggiori)","Trovarsi in mezzo ad una folla, anche all'aperto, senza via d'uscita","Yes (Sì)","3"
"2021/03/25 8:34:54 AM EET","36","4","5","Yes (Sì)","Altri prodotti","Disastrosa se non si fa qualcosa","In mezzo alla spazzatura","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","3"
"2021/03/25 8:43:13 AM EET","34","4","4","Yes (Sì)","Ogni tipo di imballaggio, ma anche alcuni giocattoli","Purtroppo non roseo","Malissimo!","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/25 9:11:44 AM EET","30","4","5","Yes (Sì)","","Temo che la situazione peggiorerà sempre di più se non si interviene","Malissimo e in colpa","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","4"
"2021/03/25 9:49:44 AM EET","29","4","4","Yes (Sì)","More houseware","Not good","Horrified","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/25 9:51:08 AM EET","29","3","4","Maybe (Forse)","All food packages","Difficult","Breathless","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","3"
"2021/03/25 9:56:22 AM EET","29","3","5","Yes (Sì)","","Pessimo, privi di vita","Colpevole, perché vedrei qualcosa di estremamente bello rovinato dall'incapacità dell'uomo di preoccuparsi (in tempo) delle proprie azioni","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/25 10:13:01 AM EET","33","4","5","Yes (Sì)","","","","The worst things (Le cose peggiori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","3"
"2021/03/25 11:39:28 AM EET","31","3","5","Yes (Sì)","Scarpe","Immagino che gli oceani siano limpidi e cristallini in modo da non gravare sulla flora e la fauna marina","Mi sentirei soffocare","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"
"2021/03/25 12:15:58 PM EET","24","4","5","Yes (Sì)","Every sort of useful tools","a bright future","Probably, I would feel ashamed about our indifference toward environment's issues","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","1"
"2021/03/25 12:20:45 PM EET","19","3","5","Yes (Sì)","Le confezioni di tutti i prodotti al supermercato","Pessimo","","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/25 1:27:15 PM EET","34","2","4","Yes (Sì)","Contenitori, bottiglie, ...","Tristi e deserti se si continua così ","Spaventato","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/25 1:45:32 PM EET","40","5","5","Yes (Sì)","Altra plastica","Non buono","Sporco","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","No (No)","3"
"2021/03/25 1:49:34 PM EET","35","3","4","Maybe (Forse)","Indumenti","Triste","Male","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","3"
"2021/03/25 2:24:04 PM EET","61","3","5","Yes (Sì)","Non saprei","Molto più pulito, non soltanto dalla plastica.","Sicuramente non bene.","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","1"
"2021/03/25 3:16:41 PM EET","33","3","3","Yes (Sì)","Contenitori ","Pessimo ","Male ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/25 3:50:24 PM EET","30","3","5","Yes (Sì)","Oggetti comuni di uso quotidiano (come per la cucina o l'igiene personale).","Difficile immaginare una prospettiva ottimista. Nonostante la graduale maggiore consapevolezza del problema, credo che siamo ancora lontani da una soluzione globale.","Sentirei angoscia, tristezza, tanta rabbia. E un profondo senso di impotenza.","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/25 3:52:13 PM EET","40","4","5","Yes (Sì)","","","Disgustata ","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/25 5:41:08 PM EET","37","4","4","Yes (Sì)","Oggetti di uso quotidiano","Spero migliorino","Molto male","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","2"
"2021/03/25 10:40:47 PM EET","24","4","4","Maybe (Forse)","","","","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/25 11:49:53 PM EET","22","3","3","Yes (Sì)","","","","The worst things (Le cose peggiori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","1"
"2021/03/26 9:59:33 AM EET","19","3","5","Yes (Sì)","Tutto","Meno inquinati","In una discarica","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","5"
"2021/03/26 10:54:55 AM EET","23","4","4","Yes (Sì)","Pretty much every package","I'm optimistic about the fact that in the future there will be less plastic thrown away in the ocean, but i know that is quiet impossible to pick up the plastic that is already there","Uncomfortable and sad","The worst things (Le cose peggiori)","sensation of sound muffling (Sensazione di ovattamento sonoro)","Yes (Sì)","5"
"2021/03/26 12:29:24 PM EET","23","3","5","Yes (Sì)","Something lastful, that is not disposable","Hopefully brighter","Guilty","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/26 7:24:24 PM EET","33","3","4","Yes (Sì)","Oggetti d'uso quotidiano","Purtroppo non buono","Sopraffatto","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","3"
"2021/03/26 10:03:36 PM EET","18","3","5","No (No)","Non importa cosa, l'importante é che si ricicli","Spero che un giorno non saranno piú inquinati","Na merda","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/26 11:33:38 PM EET","30","1","5","Maybe (Forse)","Bottiglie, indumenti, utensili da cucina e tutto quello che è possibile fare","Dipende da come ci comportiamo. ","Arrabbiata","The worst things (Le cose peggiori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","2"
"2021/03/27 10:17:04 AM EET","22","4","5","Maybe (Forse)","Tutto ciò che è possibile","Avremo un problema gravissimo se non cominciamo a fare qualcosa da subito","Mi verrebbe da vomitare","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","5"
"2021/03/27 10:49:04 AM EET","23","3","4","Yes (Sì)","Clothes, packages ","Bad ","Sad","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","No (No)","4"
"2021/03/27 3:46:24 PM EET","21","3","4","Yes (Sì)","packaging","Qualcosa dovrà succedere prima o poi","","The worst things (Le cose peggiori)","Nulla","Yes (Sì)","5"
"2021/03/27 9:08:09 PM EET","68","3","5","Yes (Sì)","Oggettistica","Spero migliore ","Male","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/28 12:12:46 PM EET","59 anni","2","5","Yes (Sì)","Qualcosa che non inquini il mondo","Oceani puliti","Malissimo","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes, but only to have a nice experience without unconfortable feelings (Sì ma solo per avere esperienze senza sentimenti di disagio)","5"
"2021/03/28 8:14:24 PM EET","63","4","4","Yes (Sì)","Mi piacerebbe di vedere la plastica riciclabile al 100%","Senza l'educazione civile e l'informazione sull'utilizzo, la plastica continuerà ad accumularsi nell'oceano ","Arrabbiato","The best things (Le cose migliori)","To be in a crowd in a closed space (Trovarsi in mezzo alla folla in uno spazio chiuso)","Yes (Sì)","4"
"2021/03/29 5:48:52 PM EET","14 ","3","5","Maybe (Forse)","Oggetti utili di utilizzo quotidiano ","Ho paura che la flora e la fauna oceanica, ma anche in generale quella marina possa finire per estinguersi a causa delle morti della fauna dovute all’inquinamento della plastica ","","The best things (Le cose migliori)","Luoghi al chiuso molto stretti e con molte persone al loro interno","Yes (Sì)","5"
"2021/03/30 11:51:52 AM EET","29","3","5","Yes (Sì)","Biciclette, stampanti, gadget per eventi, bottiglie, penne, ","Distrutto dal poco rispetto per l’ambiente, che si parli di pesca intensiva o di inquinamento","Umiliato","The best things (Le cose migliori)","Absence of horizon (Assenza di orizzonte)","Yes (Sì)","4"
"2021/04/12 12:33:38 PM EET","31","3","5","Yes (Sì)","Scarpe","Immagino che gli oceani siano limpidi e cristallini in modo da non gravare sulla flora e la fauna marina","Mi sentirei soffocare","The best things (Le cose migliori)","passage and horizon blocked  (Passaggio e orizzonte ostruiti)","Yes (Sì)","5"